原料类型,霉变情况,来源情况,预估等级,茶渣_储存时间,果渣_褐变情况,原料是否匹配,等级是否匹配,路线_推荐强度,路线_风险等级,路线_首选目标,路线_适用原料类,路线_适用等级,匹配得分
茶渣,无,来源不明,良,是,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.302690267712051
茶渣,轻度,基本可追溯,优,是,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.761699729904544
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,差,,是,0,0,高,中高,食品支线,葡萄籽,优/良,2.447852254836599
豆制品/粮食发酵副产物,无,来源不明,优,,,0,1,高,中,材料主线,茶渣,优/良,6.193022679698194
中药残余废弃物,轻度,来源不明,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,4.674542814988029
茶渣,严重,基本可追溯,优,是,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0
茶渣,严重,基本可追溯,差,是,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.663599060616815
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,差,,否,0,1,中,低,无害化兜底,茶渣,差,5.256525174077154
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,是,0,1,高,中,材料主线,茶渣,优/良,5.54080596246058
花生壳/板栗壳,严重,明确可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0
中药残余废弃物,严重,基本可追溯,差,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.700567227052748
豆制品/粮食发酵副产物,轻度,来源不明,优,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.450130775741419
中药残余废弃物,轻度,明确可追溯,优,,,0,0,中,低,无害化兜底,茶渣,差,2.2431161804809445
茶渣,无,明确可追溯,差,是,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.3066134859785129
花生壳/板栗壳,无,基本可追溯,良,,,0,0,中,低,无害化兜底,茶渣,差,2.2011869476296475
豆制品/粮食发酵副产物,无,明确可追溯,差,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,10.082252307298123
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,优,,否,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.087705088667034
豆制品/粮食发酵副产物,无,来源不明,差,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.552010615202987
中药残余废弃物,无,明确可追溯,差,,,0,0,高,中,材料主线,茶渣,优/良,3.3399627556622478
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,良,,是,0,1,高,中,材料主线,茶渣,优/良,6.381825989532619
花生壳/板栗壳,轻度,明确可追溯,差,,,1,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,10.383345656196726
中药残余废弃物,严重,明确可追溯,良,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.581185459841122
茶渣,轻度,基本可追溯,差,是,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,2.945866396871632
茶渣,轻度,基本可追溯,差,是,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.090288728091836
茶渣,无,来源不明,优,是,,1,0,中,低,无害化兜底,茶渣,差,6.308607765901178
豆制品/粮食发酵副产物,轻度,基本可追溯,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.4268985334784317
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,是,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.042233853070673
中药残余废弃物,严重,明确可追溯,优,,,0,1,中,高,食品支线,茶渣,优,0.1805830904177681
中药残余废弃物,无,来源不明,差,,,0,1,中,低,无害化兜底,茶渣,差,5.069289157889332
豆制品/粮食发酵副产物,轻度,来源不明,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.174942639295916
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.601113436353952
茶渣,无,明确可追溯,良,否,,1,0,中,低,无害化兜底,茶渣,差,5.876539170172092
中药残余废弃物,严重,基本可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,0.0
中药残余废弃物,严重,基本可追溯,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.955302802229475
豆制品/粮食发酵副产物,无,明确可追溯,良,,,0,0,中,高,食品支线,茶渣,优,0.0
花生壳/板栗壳,严重,来源不明,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.1846476399895023
茶渣,无,基本可追溯,差,否,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.105887568455201
花生壳/板栗壳,严重,来源不明,差,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.136777651501911
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,良,,是,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.473074739294805
中药残余废弃物,严重,来源不明,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.843988982760511
豆制品/粮食发酵副产物,轻度,基本可追溯,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.3171015201393885
豆制品/粮食发酵副产物,严重,来源不明,优,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.255726442414393
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,优,,否,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.463789234832849
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,良,,是,1,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.713555210832103
茶渣,轻度,来源不明,良,否,,1,0,中,低,无害化兜底,茶渣,差,5.7790572660188
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,1,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,9.785371874061356
花生壳/板栗壳,严重,来源不明,优,,,0,1,高,低,材料主线,茶渣,优/良/差,7.343860318331508
豆制品/粮食发酵副产物,无,明确可追溯,优,,,0,1,中,高,食品支线,茶渣,优,2.5023861705453863
中药残余废弃物,无,来源不明,优,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.810195098127873
茶渣,轻度,来源不明,差,是,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.722299242648237
中药残余废弃物,无,明确可追溯,差,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.643834928172343
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,差,,是,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.692372605211226
中药残余废弃物,严重,来源不明,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.215173448919208
中药残余废弃物,无,基本可追溯,差,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.588691720457957
花生壳/板栗壳,轻度,明确可追溯,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.21354594566515
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.424879529317432
花生壳/板栗壳,轻度,来源不明,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.567926667669087
茶渣,严重,基本可追溯,优,否,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.27431764105419165
中药残余废弃物,轻度,基本可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,2.305540338653262
豆制品/粮食发酵副产物,严重,明确可追溯,差,,,0,0,中,高,食品支线,茶渣,优,0.0
豆制品/粮食发酵副产物,无,明确可追溯,良,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,8.254769246829277
中药残余废弃物,无,来源不明,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.594539445312488
中药残余废弃物,无,基本可追溯,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.892542052038646
花生壳/板栗壳,轻度,来源不明,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.491034681185981
茶渣,轻度,基本可追溯,良,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.359742877119824
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,否,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,9.858137363405266
中药残余废弃物,轻度,明确可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,4.757173534191612
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,7.764622871928391
中药残余废弃物,轻度,基本可追溯,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.3055313601864
中药残余废弃物,无,明确可追溯,优,,,0,0,中,低,无害化兜底,茶渣,差,2.3686323449783244
中药残余废弃物,无,基本可追溯,优,,,0,1,高,中,材料主线,茶渣,优/良,6.123122842016105
花生壳/板栗壳,严重,来源不明,差,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,10.923609572232298
中药残余废弃物,无,来源不明,良,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.633052386071363
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,是,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.735343548422459
茶渣,轻度,来源不明,优,是,,1,1,高,中,材料主线,茶渣,优/良,9.514863028007715
花生壳/板栗壳,轻度,基本可追溯,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.726177557146179
花生壳/板栗壳,轻度,明确可追溯,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,4.908059134828863
茶渣,轻度,来源不明,优,是,,1,0,中,低,无害化兜底,茶渣,差,5.604955398235028
豆制品/粮食发酵副产物,轻度,明确可追溯,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.323596178376853
中药残余废弃物,严重,基本可追溯,优,,,0,0,中,低,无害化兜底,茶渣,差,1.65192629257115
花生壳/板栗壳,轻度,明确可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,4.85126536739949
豆制品/粮食发酵副产物,严重,来源不明,差,,,1,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.07300324180932771
中药残余废弃物,严重,明确可追溯,良,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.821489777970669
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,良,,否,0,1,高,中高,食品支线,葡萄籽,优/良,5.1956308144940895
中药残余废弃物,严重,明确可追溯,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.0
豆制品/粮食发酵副产物,无,明确可追溯,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.781585752452289
花生壳/板栗壳,轻度,来源不明,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.303253735659889
花生壳/板栗壳,无,基本可追溯,优,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.690750628475528
中药残余废弃物,严重,来源不明,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0
茶渣,严重,来源不明,良,否,,1,0,中,低,无害化兜底,茶渣,差,6.237171248149852
中药残余废弃物,无,基本可追溯,优,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.277281715389041
豆制品/粮食发酵副产物,无,来源不明,差,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,9.553146558488484
中药残余废弃物,轻度,明确可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.466877859975382
茶渣,严重,来源不明,差,否,,1,1,高,低,材料主线,茶渣,优/良/差,11.023983970292905
花生壳/板栗壳,严重,基本可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,0.0862983229840073
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,良,,否,0,0,中,低,无害化兜底,茶渣,差,1.5048505005142818
中药残余废弃物,轻度,来源不明,优,,,0,1,高,低,材料主线,茶渣,优/良/差,7.120795338418501
花生壳/板栗壳,严重,来源不明,良,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,10.791194814310929
豆制品/粮食发酵副产物,无,明确可追溯,差,,,0,0,高,中高,食品支线,葡萄籽,优/良,1.8623564150870977
花生壳/板栗壳,无,明确可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,6.537840155850936
茶渣,严重,来源不明,优,否,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.748628149580384
茶渣,轻度,明确可追溯,优,是,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.322908031706449
花生壳/板栗壳,轻度,来源不明,差,,,0,0,中,高,食品支线,茶渣,优,0.0
茶渣,无,基本可追溯,良,是,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,4.254781446861799
豆制品/粮食发酵副产物,无,来源不明,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.8998315237234165
中药残余废弃物,轻度,基本可追溯,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,4.9298559383501495
茶渣,轻度,来源不明,差,否,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,2.4950744641967857
中药残余废弃物,无,基本可追溯,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.173237540167278
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,5.254056562602553
花生壳/板栗壳,严重,明确可追溯,良,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.648608975553482
花生壳/板栗壳,轻度,来源不明,优,,,0,1,高,低,材料主线,茶渣,优/良/差,6.69013862258621
豆制品/粮食发酵副产物,轻度,明确可追溯,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.108455475042481
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,良,,是,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.14776299011200178
茶渣,严重,明确可追溯,良,是,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.454078511836776
花生壳/板栗壳,轻度,来源不明,良,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.736729280655801
茶渣,严重,基本可追溯,良,否,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.761691099632918
豆制品/粮食发酵副产物,无,来源不明,优,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.1790343732256705
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,否,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.769779346028848
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,否,0,0,高,中高,食品支线,葡萄籽,优/良,1.5757162939535694
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,优,,是,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.44038352715556
豆制品/粮食发酵副产物,无,明确可追溯,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.0
花生壳/板栗壳,严重,明确可追溯,良,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.532555229155664
